iter	Passed	Remaining
0	57	5710
1	58	2870
2	61	1974
3	64	1541
4	65	1247
5	66	1043
6	67	896
7	68	792
8	69	706
9	70	637
10	71	581
11	72	533
12	73	492
13	74	457
14	75	427
15	76	400
16	77	376
17	77	354
18	78	335
19	79	318
20	80	302
21	81	289
22	82	275
23	83	263
24	84	252
25	85	242
26	85	232
27	86	223
28	87	214
29	88	207
30	89	199
31	90	192
32	91	185
33	92	179
34	93	172
35	94	167
36	94	161
37	95	156
38	96	151
39	97	146
40	98	142
41	99	137
42	100	133
43	101	129
44	102	125
45	103	121
46	104	117
47	105	113
48	106	110
49	107	107
50	107	103
51	108	100
52	109	97
53	110	94
54	111	91
55	112	88
56	113	85
57	114	82
58	115	80
59	116	77
60	117	74
61	117	72
62	118	69
63	119	67
64	120	64
65	121	62
66	122	60
67	122	57
68	123	55
69	124	53
70	125	51
71	126	49
72	127	47
73	128	45
74	129	43
75	130	41
76	130	39
77	131	37
78	132	35
79	133	33
80	134	31
81	135	29
82	136	27
83	137	26
84	139	24
85	140	22
86	141	21
87	142	19
88	142	17
89	143	15
90	144	14
91	145	12
92	146	11
93	147	9
94	148	7
95	149	6
96	149	4
97	150	3
98	151	1
99	152	0
