Date,Store_ID,Product_ID,Category,Sales,Inventory,Price,Promotion,Holiday,Temperature,Rainfall,Discount,Supplier_Lead_Time,Supplier_Reliability,Cost,Profit
2023-01-01,S001,P001,Clothing,23,90,193.52,0,0,17.7,0.8,0.0,12,0.76,151.0,977.96
2023-01-01,S001,P002,Food,18,106,159.08,0,0,25.4,0.0,0.0,3,0.81,97.02,1117.08
2023-01-01,S001,P003,Home,31,97,491.78,0,0,17.1,1.9,0.0,2,0.91,288.53,6300.75
2023-01-01,S001,P004,Toys,28,75,225.67,1,0,19.7,6.1,0.28,10,0.87,101.28,1713.67
2023-01-01,S001,P005,Electronics,19,111,25.34,0,0,21.7,3.6,0.0,5,0.82,18.67,126.73
2023-01-01,S002,P001,Clothing,26,102,142.96,0,0,20.3,0.0,0.0,7,0.83,104.57,998.14
2023-01-01,S002,P002,Food,27,113,203.49,0,1,29.3,5.4,0.0,9,0.89,105.28,2651.67
2023-01-01,S002,P003,Home,28,127,172.14,0,0,22.4,6.1,0.0,5,0.99,73.23,2769.48
2023-01-01,S002,P004,Toys,17,152,425.97,0,0,18.5,0.0,0.0,4,0.97,293.36,2254.37
2023-01-01,S002,P005,Electronics,26,91,132.15,0,0,,0.9,0.0,6,0.84,74.55,1497.6
2023-01-01,S003,P001,Clothing,29,73,117.04,0,0,16.7,0.0,0.0,6,0.85,66.32,1470.88
2023-01-01,S003,P002,Food,22,108,214.53,0,0,9.8,1.2,0.0,1,0.72,104.87,2412.52
2023-01-01,S003,P003,Home,19,106,134.42,0,0,15.6,1.6,0.0,10,1.0,67.04,1280.22
2023-01-01,S003,P004,Toys,24,127,128.61,0,0,39.7,,0.0,11,0.94,86.02,1022.16
2023-01-01,S003,P005,Electronics,17,89,401.19,0,0,15.8,6.3,0.0,7,0.75,184.66,3681.01
2023-01-02,S001,P001,Clothing,17,93,348.56,0,0,31.0,0.0,0.0,10,0.99,193.34,2638.74
2023-01-02,S001,P002,Food,15,116,263.15,0,0,30.0,2.8,0.0,4,0.97,132.71,1956.6
2023-01-02,S001,P003,Home,22,116,392.14,0,0,24.7,3.1,0.0,2,0.85,257.56,2960.76
2023-01-02,S001,P004,Toys,34,108,229.73,1,0,15.4,0.0,0.17,11,0.81,183.27,251.8
2023-01-02,S001,P005,Electronics,24,116,139.95,0,0,1.1,3.4,0.0,12,0.9,69.64,1687.44
2023-01-02,S002,P001,Clothing,17,112,433.44,0,0,19.9,3.0,0.0,3,0.99,213.28,3742.72
2023-01-02,S002,P002,Food,19,94,46.92,0,0,0.6,,0.0,3,0.87,24.51,425.79
2023-01-02,S002,P003,Home,23,80,57.62,0,0,30.6,2.3,0.0,13,0.79,37.22,469.2
2023-01-02,S002,P004,Toys,18,109,215.69,1,0,33.8,0.0,0.05,12,0.97,108.38,1737.46
2023-01-02,S002,P005,Electronics,26,60,23.53,0,0,10.9,0.0,0.0,8,0.93,14.86,225.42
2023-01-02,S003,P001,Clothing,30,112,115.75,1,0,24.3,12.7,0.18,1,0.82,75.14,593.25
2023-01-02,S003,P002,Food,23,97,222.43,0,0,18.6,0.0,0.0,6,0.91,155.17,1546.98
2023-01-02,S003,P003,Home,19,120,333.5,0,0,,12.6,0.0,3,0.93,170.74,3092.44
2023-01-02,S003,P004,Toys,23,74,17.05,1,1,17.6,11.4,0.26,5,,7.61,115.16
2023-01-02,S003,P005,Electronics,31,146,311.77,0,1,18.9,2.3,0.0,4,0.88,203.91,3343.66
2023-01-03,S001,P001,Clothing,21,109,472.51,0,0,26.1,7.2,0.0,12,0.82,367.47,2205.84
2023-01-03,S001,P002,Food,25,104,480.98,1,0,24.7,0.0,0.08,10,0.8,366.57,1898.29
2023-01-03,S001,P003,Home,21,137,137.74,0,0,24.5,1.6,0.0,3,0.82,82.43,1161.51
2023-01-03,S001,P004,Toys,23,121,192.29,0,0,36.9,0.9,0.0,9,0.81,136.63,1280.18
2023-01-03,S001,P005,Electronics,22,82,271.82,0,0,23.9,1.4,0.0,5,0.79,162.72,2400.2
2023-01-03,S002,P001,Clothing,21,99,171.05,0,0,19.9,0.0,0.0,7,0.86,114.43,1189.02
2023-01-03,S002,P002,Food,19,117,355.86,0,0,20.6,2.3,0.0,2,,280.23,1436.97
2023-01-03,S002,P003,Home,24,95,51.57,0,0,17.7,0.0,0.0,11,0.77,40.98,254.16
2023-01-03,S002,P004,Toys,23,89,171.82,0,0,35.9,4.4,0.0,12,0.79,98.59,1684.29
2023-01-03,S002,P005,Electronics,18,100,435.61,1,0,5.8,3.1,0.29,4,0.72,213.2,1729.5
2023-01-03,S003,P001,Clothing,31,82,91.45,0,0,11.0,9.6,0.0,5,0.78,44.51,1455.14
2023-01-03,S003,P002,Food,25,107,102.18,0,0,17.7,0.0,0.0,13,,59.82,1059.0
2023-01-03,S003,P003,Home,15,97,47.34,0,0,21.4,7.2,0.0,1,0.81,36.75,158.85
2023-01-03,S003,P004,Toys,20,90,377.29,0,0,35.3,3.1,0.0,3,0.87,210.22,3341.4
2023-01-03,S003,P005,Electronics,30,114,386.8,0,0,9.3,,0.0,2,0.81,300.89,2577.3
2023-01-04,S001,P001,Clothing,21,101,65.64,0,0,8.8,7.9,0.0,11,0.82,43.89,456.75
2023-01-04,S001,P002,Food,14,121,75.67,0,0,10.4,5.4,0.0,11,0.73,31.14,623.42
2023-01-04,S001,P003,Home,23,62,365.93,0,0,2.4,3.1,0.0,10,0.98,226.5,3206.89
2023-01-04,S001,P004,Toys,22,107,251.14,0,0,-0.7,1.6,0.0,8,0.91,126.4,2744.28
2023-01-04,S001,P005,Electronics,25,110,211.71,0,0,10.6,0.0,0.0,10,0.75,158.72,1324.75
2023-01-04,S002,P001,Clothing,23,110,53.46,0,0,20.6,0.0,0.0,8,0.96,23.96,678.5
2023-01-04,S002,P002,Food,16,111,461.23,0,0,32.0,0.0,0.0,6,0.77,195.76,4247.52
2023-01-04,S002,P003,Home,37,76,382.38,1,0,24.0,0.0,0.09,9,0.92,234.21,4208.96
2023-01-04,S002,P004,Toys,30,76,99.32,1,0,3.4,0.0,0.18,9,0.85,62.13,579.37
2023-01-04,S002,P005,Electronics,17,118,52.59,0,0,9.6,1.0,0.0,8,0.85,32.33,344.42
2023-01-04,S003,P001,Clothing,30,54,171.87,0,1,39.1,1.0,0.0,8,0.97,132.94,1167.9
2023-01-04,S003,P002,Food,25,110,49.31,0,0,17.6,0.0,0.0,9,0.92,30.07,481.0
2023-01-04,S003,P003,Home,20,83,272.17,0,0,10.2,5.2,0.0,6,0.87,160.76,2228.2
2023-01-04,S003,P004,Toys,33,85,85.64,1,0,14.0,5.8,0.13,7,0.94,50.74,784.3
2023-01-04,S003,P005,Electronics,28,75,62.28,0,0,44.3,0.0,0.0,12,0.95,46.11,452.76
2023-01-05,S001,P001,Clothing,22,117,78.49,0,0,23.9,0.0,0.0,9,0.9,56.36,486.86
2023-01-05,S001,P002,Food,21,130,231.45,0,0,16.7,,0.0,7,0.86,158.66,1528.59
2023-01-05,S001,P003,Home,23,99,42.64,0,0,32.1,0.0,0.0,7,0.87,20.96,498.64
2023-01-05,S001,P004,Toys,23,91,498.87,0,0,30.5,0.2,0.0,10,0.8,349.69,3431.14
2023-01-05,S001,P005,Electronics,14,119,412.42,0,0,32.9,0.0,0.0,3,0.91,183.22,3208.8
2023-01-05,S002,P001,Clothing,19,116,275.93,0,0,29.7,2.9,0.0,11,0.75,138.16,2617.63
2023-01-05,S002,P002,Food,34,137,297.25,1,0,21.1,5.6,0.27,6,0.72,179.05,1290.04
2023-01-05,S002,P003,Home,18,90,61.08,0,0,33.5,0.0,0.0,3,0.88,44.97,289.98
2023-01-05,S002,P004,Toys,28,125,205.51,0,0,28.5,0.0,0.0,1,0.88,86.71,3326.4
